dirname,status,solved,f2p,cost_usd_imputed
claude-claude-opus-4-8-high-stock-abs-module-cache-flags-rep2,error,False,,
claude-claude-opus-4-8-high-stock-abs-stepped-slices-rep2,error,False,,
claude-claude-opus-4-8-high-stock-actionlint-action-pinning-lint-rep2,error,False,,
claude-claude-opus-4-8-high-stock-adaptix-name-mapping-aliases-rep2,error,False,,
claude-claude-opus-4-8-high-stock-aiomonitor-task-snapshots-diff-rep2,error,False,,
claude-claude-opus-4-8-high-symnav@7f45343f6e7e-abs-module-cache-flags-rep2,error,False,,
claude-claude-opus-4-8-high-symnav@7f45343f6e7e-abs-stepped-slices-rep2,error,False,,
claude-claude-opus-4-8-high-symnav@7f45343f6e7e-actionlint-action-pinning-lint-rep2,error,False,,
claude-claude-opus-4-8-high-symnav@7f45343f6e7e-adaptix-name-mapping-aliases-rep2,error,False,,
claude-claude-opus-4-8-high-symnav@7f45343f6e7e-aiomonitor-task-snapshots-diff-rep2,error,False,,
claude-claude-opus-4-8-high-symnav@7f45343f6e7e-anko-default-function-arguments-rep2,error,False,,
claude-claude-opus-4-8-high-symnav@7f45343f6e7e-arcane-drift-detection-baselines-rep2,error,False,,
claude-claude-sonnet-4-5-low-stock-eicrud-keyset-pagination-cursor-rep10,completed,False,0.5714285714285714,2.2716832499999997
claude-claude-sonnet-4-5-low-stock-eicrud-keyset-pagination-cursor-rep7,completed,False,0.5714285714285714,2.128689299999999
claude-claude-sonnet-4-5-low-stock-eicrud-keyset-pagination-cursor-rep8,completed,False,0.5714285714285714,2.5227550499999993
claude-claude-sonnet-4-5-low-stock-eicrud-keyset-pagination-cursor-rep9,completed,False,0.5714285714285714,2.0566056
claude-claude-sonnet-4-5-low-stock-happy-dom-deterministic-intersectionobserver-rep10,completed,False,0.9285714285714286,1.5098870999999996
claude-claude-sonnet-4-5-low-stock-happy-dom-deterministic-intersectionobserver-rep7,completed,False,0.7142857142857143,2.0118257999999996
claude-claude-sonnet-4-5-low-stock-happy-dom-deterministic-intersectionobserver-rep8,completed,False,0.7857142857142857,1.3679970000000001
claude-claude-sonnet-4-5-low-stock-happy-dom-deterministic-intersectionobserver-rep9,completed,False,0.7857142857142857,1.2701769000000005
claude-claude-sonnet-4-5-low-stock-kea-atomic-signal-selectors-rep10,completed,False,0.4166666666666667,3.4214742
