dirname,status,solved,f2p,cost_usd_imputed
claude-claude-opus-4-8-high-stock-abs-module-cache-flags-rep2,error,False,,
claude-claude-opus-4-8-high-stock-abs-stepped-slices-rep2,error,False,,
claude-claude-opus-4-8-high-stock-actionlint-action-pinning-lint-rep2,error,False,,
claude-claude-opus-4-8-high-stock-adaptix-name-mapping-aliases-rep2,error,False,,
claude-claude-opus-4-8-high-stock-aiomonitor-task-snapshots-diff-rep2,error,False,,
claude-claude-opus-4-8-high-symnav@7f45343f6e7e-abs-module-cache-flags-rep2,error,False,,
claude-claude-opus-4-8-high-symnav@7f45343f6e7e-abs-stepped-slices-rep2,error,False,,
claude-claude-opus-4-8-high-symnav@7f45343f6e7e-actionlint-action-pinning-lint-rep2,error,False,,
claude-claude-opus-4-8-high-symnav@7f45343f6e7e-adaptix-name-mapping-aliases-rep2,error,False,,
claude-claude-opus-4-8-high-symnav@7f45343f6e7e-aiomonitor-task-snapshots-diff-rep2,error,False,,
claude-claude-opus-4-8-high-symnav@7f45343f6e7e-anko-default-function-arguments-rep2,error,False,,
claude-claude-opus-4-8-high-symnav@7f45343f6e7e-arcane-drift-detection-baselines-rep2,error,False,,
codex-gpt-5.4-xhigh-stock-abs-module-cache-flags-rep2,error,False,,
codex-gpt-5.4-xhigh-stock-abs-module-cache-flags-rep999,error,False,,
codex-gpt-5.4-xhigh-stock-abs-stepped-slices-rep2,error,False,,
codex-gpt-5.4-xhigh-stock-actionlint-action-pinning-lint-rep2,error,False,,
codex-gpt-5.4-xhigh-stock-adaptix-name-mapping-aliases-rep2,error,False,,
codex-gpt-5.4-xhigh-stock-aiomonitor-task-snapshots-diff-rep2,error,False,,
codex-gpt-5.4-xhigh-stock-kysely-window-grouping-helpers-rep1000,error,False,,
codex-gpt-5.4-xhigh-stock-kysely-window-grouping-helpers-rep1001,error,False,,
codex-gpt-5.4-xhigh-stock-kysely-window-grouping-helpers-rep1002,completed,False,0.0,
codex-gpt-5.4-xhigh-stock-kysely-window-grouping-helpers-rep1003,completed,True,1.0,4.5220445
codex-gpt-5.4-xhigh-symnav@7f45343f6e7e-abs-module-cache-flags-rep2,error,False,,
codex-gpt-5.4-xhigh-symnav@7f45343f6e7e-abs-stepped-slices-rep2,error,False,,
codex-gpt-5.4-xhigh-symnav@7f45343f6e7e-actionlint-action-pinning-lint-rep2,error,False,,
codex-gpt-5.4-xhigh-symnav@7f45343f6e7e-adaptix-name-mapping-aliases-rep2,error,False,,
codex-gpt-5.4-xhigh-symnav@7f45343f6e7e-aiomonitor-task-snapshots-diff-rep2,error,False,,
codex-gpt-5.4-xhigh-symnav@7f45343f6e7e-anko-default-function-arguments-rep2,error,False,,
codex-gpt-5.4-xhigh-symnav@7f45343f6e7e-arcane-drift-detection-baselines-rep2,error,False,,
codex-gpt-5.4-xhigh-symnav@7f45343f6e7e-prometheus-transactional-reload-status-rep2,completed,True,1.0,4.169227
